Eval Eval S14 3 2 it3 Info1 PAde Amphi
TDx TDx S9 0 5 it3 Info1x PAde SC3
TDx TDx S7 2 16 it3 Info1x PAde SC3
TDy TDy S9 0 12 it3 Info1y PAde SC3
TDy TDy S7 2 12 it3 Info1y PAde SC3
TPa TPa S11 4 16 it3 Info1a PAde TR
TPa TPa S14 0 1 it3 Info1a PAde TR
TPa TPa S13 0 5 it3 Info1a PAde TR
TPa TQa S12 3 5 it3 Info1a PAde SCC
TPb TPb S13 0 1 it3 Info1b PAde TR
TPb TPb S11 1 12 it3 Info1b PAde TR
TPb TPb S14 0 16 it3 Info1b PAde TR
TPb TQb S12 0 12 it3 Info1b PAde SCC
TPc TPc S11 1 16 it3 Info1c PAde TR
TPc TPc S13 0 16 it3 Info1c PAde TR
TPc TPc S14 0 12 it3 Info1c PAde TR
TPc TQc S12 0 5 it3 Info1c PAde SCC
TPd TPd S11 4 5 it3 Info1d PAde TR
TPd TPd S13 0 12 it3 Info1d PAde TR
TPd TPd S14 0 5 it3 Info1d PAde TR
TPd TQd S12 3 1 it3 Info1d PAde SCC
