Eval Eval S12 0 1 it3 Info1 PAde Amphi
TDx TDx S4 2 12 it3 Info1x PAde SC3
TDx TDx S4 4 1 it3 Info1x PAde SC3
TDx TDx S5 1 5 it3 Info1x PAde SCC
TDx TDx S5 0 12 it3 Info1x PAde SC3
TDx TDx S5 2 12 it3 Info1x PAde SC3
TDx TDx S5 3 5 it3 Info1x PAde SCC
TDx TDx S6 0 1 it3 Info1x PAde TD13
TDx TDx S6 1 16 it3 Info1x PAde SC3
TDx TDx S6 2 1 it3 Info1x PAde TD13
TDy TDy S4 2 16 it3 Info1y PAde SC3
TDy TDy S4 4 5 it3 Info1y PAde SC3
TDy TDy S5 1 16 it3 Info1y PAde SCC
TDy TDy S5 0 16 it3 Info1y PAde SC3
TDy TDy S5 2 16 it3 Info1y PAde SC3
TDy TDy S5 3 1 it3 Info1y PAde SCC
TDy TDy S6 0 5 it3 Info1y PAde TD13
TDy TDy S6 1 12 it3 Info1y PAde SC3
TDy TDy S6 2 5 it3 Info1y PAde TD13
TPa TPa S7 2 5 it3 Info1a PAde Res
TPa TPa S8 1 1 it3 Info1a PAde TR
TPa TPa S10 0 5 it3 Info1a PAde TR
TPa TPa S10 2 5 it3 Info1a PAde TR
TPa TQa S8 2 5 it3 Info1a PAde TD27
TPa TQa S7 3 1 it3 Info1a PAde SCC
TPb TPb S7 1 12 it3 Info1b PAde Res
TPb TPb S8 1 12 it3 Info1b PAde TR
TPb TPb S10 0 16 it3 Info1b PAde TR
TPb TPb S10 2 16 it3 Info1b PAde TR
TPb TQb S8 3 1 it3 Info1b PAde TD27
TPb TQb S7 2 12 it3 Info1b PAde SCC
TPc TPc S7 2 1 it3 Info1c PAde Res
TPc TPc S8 1 5 it3 Info1c PAde TR
TPc TPc S10 0 12 it3 Info1c PAde TR
TPc TPc S10 2 12 it3 Info1c PAde TR
TPc TQc S8 2 1 it3 Info1c PAde TD27
TPc TQc S7 3 5 it3 Info1c PAde SCC
TPd TPd S7 1 16 it3 Info1d PAde Res
TPd TPd S8 1 16 it3 Info1d PAde TR
TPd TPd S10 0 1 it3 Info1d PAde TR
TPd TPd S10 2 1 it3 Info1d PAde TR
TPd TQd S8 3 5 it3 Info1d PAde TD27
TPd TQd S7 2 16 it3 Info1d PAde SCC
